"","X1","X2"
"1","2L","10692554"
"2","2L","10692673"
"3","2L","10743970"
"4","2L","12220763"
"5","2L","14019553"
"6","2L","16011148"
"7","2L","17882621"
"8","2L","21761306"
"9","2L","21881818"
"10","2L","21899232"
"11","2L","22179283"
"12","2L","22284730"
"13","2L","22287838"
"14","2L","22999424"
"15","2L","23010222"
"16","2L","23017005"
"17","2L","23242513"
"18","2L","23365738"
"19","2L","25755648"
"20","2L","25790402"
"21","2L","27144463"
"22","2L","27789258"
"23","2L","27832909"
"24","2L","27976039"
"25","2L","28025917"
"26","2L","28040283"
"27","2L","28334274"
"28","2L","28334276"
"29","2L","28519927"
"30","2L","28737152"
"31","2L","28750952"
"32","2L","29072421"
"33","2L","29115611"
"34","2L","29171316"
"35","2L","29821248"
"36","2L","29870393"
"37","2L","30321717"
"38","2L","30915009"
"39","2L","30915320"
"40","2L","31730288"
"41","2L","31996890"
"42","2L","32098297"
"43","2L","32384365"
"44","2L","32386901"
"45","2L","32699424"
"46","2L","32903029"
"47","2L","33129780"
"48","2L","34038048"
"49","2L","34105540"
"50","2L","34162015"
"51","2L","34416791"
"52","2L","34555698"
"53","2L","34743498"
"54","2L","35240939"
"55","2L","35320490"
"56","2L","36269987"
"57","2L","36410978"
"58","2L","36427994"
"59","2L","36619371"
"60","2L","36731500"
"61","2L","37005363"
"62","2L","37115863"
"63","2L","37166056"
"64","2L","37829619"
"65","2L","38118796"
"66","2L","38723736"
"67","2L","38913395"
"68","2L","39141886"
"69","2L","40409547"
"70","2L","40435131"
"71","2L","40957932"
"72","2L","41000006"
"73","2L","41514603"
"74","2L","48234370"
"75","2L","7143024"
"76","2L","8211108"
"77","2L","8337193"
"78","2L","8846820"
"79","2L","8846943"
"80","2L","8847703"
"81","2L","9041558"
"82","2L","9045607"
"83","2L","9046728"
"84","2L","9047723"
"85","2L","9055265"
"86","2L","9057898"
"87","2L","9058044"
"88","2L","9058063"
"89","2L","9058153"
"90","2L","9059030"
"91","2L","9059031"
"92","2L","9156995"
"93","2L","9672248"
"94","2R","19312305"
"95","2R","19321187"
"96","2R","19368217"
"97","2R","19482708"
"98","2R","19526439"
"99","2R","19553057"
"100","2R","19600137"
"101","2R","19695476"
"102","2R","20118707"
"103","2R","20347477"
"104","2R","20425892"
"105","2R","20476605"
"106","2R","20830388"
"107","2R","20858551"
"108","2R","21246778"
"109","2R","22190945"
"110","2R","22830355"
"111","2R","23232655"
"112","2R","23372615"
"113","2R","23508058"
"114","2R","23511552"
"115","2R","23576601"
"116","2R","23700203"
"117","2R","23879192"
"118","2R","24366360"
"119","2R","24431383"
"120","2R","24432128"
"121","2R","24437878"
"122","2R","24493765"
"123","2R","24516400"
"124","2R","24516401"
"125","2R","24858733"
"126","2R","24858753"
"127","2R","24859207"
"128","2R","24932264"
"129","2R","25458029"
"130","2R","25587137"
"131","2R","25587141"
"132","2R","25860036"
"133","2R","25890947"
"134","2R","25911312"
"135","2R","25911315"
"136","2R","25915476"
"137","2R","25939288"
"138","2R","25984234"
"139","2R","26498903"
"140","2R","26702903"
"141","2R","26702925"
"142","2R","26718607"
"143","2R","30571003"
"144","2R","47411924"
"145","2R","55585287"
"146","2R","55879029"
"147","3L","10791807"
"148","3L","11972479"
"149","3L","15016664"
"150","3L","15114057"
"151","3L","16746762"
"152","3L","18413533"
"153","3L","18823593"
"154","3L","19490682"
"155","3L","23234651"
"156","3L","26952983"
"157","3L","29005208"
"158","3L","33399472"
"159","3L","36125865"
"160","3L","38369539"
"161","3L","38953420"
"162","3L","39830509"
"163","3L","6283849"
"164","3L","6910825"
"165","3L","6920516"
"166","3L","6925995"
"167","3L","6974574"
"168","3L","8283110"
"169","3R","103441"
"170","3R","16667071"
"171","3R","1810682"
"172","3R","22772897"
"173","3R","2550946"
"174","3R","26770052"
"175","3R","27976984"
"176","3R","28117073"
"177","3R","28160479"
"178","3R","28975396"
"179","3R","2902809"
"180","3R","29308877"
"181","3R","29336243"
"182","3R","30333388"
"183","3R","32112072"
"184","3R","33529692"
"185","3R","35084210"
"186","3R","37334771"
"187","3R","39981973"
"188","3R","4265736"
"189","3R","48426604"
"190","3R","48681086"
"191","3R","48682689"
"192","3R","5168826"
"193","3R","5324489"
"194","3R","5363194"
"195","3R","8366759"
"196","X","10058044"
"197","X","10420178"
"198","X","10635073"
"199","X","10663905"
"200","X","11279324"
"201","X","11778432"
"202","X","12035795"
"203","X","12478240"
"204","X","1256410"
"205","X","13083770"
"206","X","14934223"
"207","X","15294832"
"208","X","15296801"
"209","X","15309784"
"210","X","15330461"
"211","X","19200911"
"212","X","19201989"
"213","X","2292010"
"214","X","2756520"
"215","X","3161215"
"216","X","3589242"
"217","X","500610"
"218","X","5007637"
"219","X","5561521"
"220","X","7308922"
"221","X","7445028"
"222","X","9239219"
"223","X","9563735"
"224","X","9614578"
"225","X","9989616"
