seqid,pos[w],gene
2R,7536785,AGAP001658
2R,7536785,AGAP001657
2R,7850528,AGAP001674
2R,7887863,AGAP001674
2R,7890117,AGAP001674
2R,7905842,AGAP001674
2R,8303465,AGAP001683
2R,8338235,AGAP001683
2R,8353264,AGAP001683
2R,8368848,AGAP001683
2R,8368848,AGAP001684
2R,8420752,AGAP001683
2R,10918547,AGAP001824
2R,10918923,AGAP001824
2R,10919087,AGAP001824
2R,11053832,AGAP001824
2R,11505686,AGAP001859
2R,11506011,AGAP001859
2R,13902877,AGAP002012
2R,13902877,AGAP012959
2R,17293210,AGAP002186
2R,17307499,AGAP002186
2R,24870231,AGAP013086
2R,24870231,AGAP013456
2R,24895453,AGAP002644
2R,25445534,AGAP002677
2R,27906026,AGAP002814
2R,27963324,AGAP002817
2R,27963324,AGAP002819
2R,27984453,AGAP002823
2R,27996727,AGAP002824
2R,27997458,AGAP002824
2R,27998676,AGAP002824
2R,27998948,AGAP002824
2R,27999048,AGAP002824
2R,27999816,AGAP002824
2R,28002084,AGAP002824
2R,28003192,AGAP002824
2R,28013525,AGAP002824
2R,28013525,AGAP002825
2R,28014329,AGAP002824
2R,28014329,AGAP002825
2R,28020067,AGAP002824
2R,28020452,AGAP002824
2R,28020807,AGAP002824
2R,28021771,AGAP002824
2R,28024468,AGAP002824
2R,28025575,AGAP002824
2R,28028019,AGAP002824
2R,28032640,AGAP002824
2R,28044380,AGAP002826
2R,28064307,AGAP002828
2R,28064692,AGAP002828
2R,28076715,AGAP002830
2R,28078169,AGAP002830
2R,28080932,AGAP002830
2R,28086322,AGAP002831
2R,28086322,AGAP013130
2R,28092195,AGAP002832
2R,28098500,AGAP002832
2R,28102246,AGAP002832
2R,28102551,AGAP002832
2R,28104382,AGAP002832
2R,28112316,AGAP002832
2R,28115577,AGAP002832
2R,28120510,AGAP002832
2R,28194378,AGAP002836
2R,28204622,AGAP013054
2R,28204622,AGAP002838
2R,28208434,AGAP002838
2R,28208434,AGAP013404
2R,28222735,AGAP002842
2R,28224946,AGAP002842
2R,28293999,AGAP002846
2R,28294181,AGAP002846
2R,28295585,AGAP002846
2R,28324217,AGAP002858
2R,28325313,AGAP002858
2R,28327761,AGAP002858
2R,28329914,AGAP002858
2R,28332837,AGAP002858
2R,28345370,AGAP002858
2R,28350322,AGAP002858
2R,28350804,AGAP002858
2R,28351801,AGAP002858
2R,28359499,AGAP002858
2R,28360466,AGAP002858
2R,28364297,AGAP002858
2R,28365330,AGAP002858
2R,28365559,AGAP002858
2R,28366564,AGAP002858
2R,28370793,AGAP002858
2R,28371021,AGAP002858
2R,28371512,AGAP002858
2R,28374232,AGAP002858
2R,28375494,AGAP002858
2R,28375773,AGAP002858
2R,28375929,AGAP002858
2R,28378733,AGAP002858
2R,28379318,AGAP002858
2R,28383029,AGAP002858
2R,28383742,AGAP002858
2R,28388390,AGAP002858
2R,28389276,AGAP002858
2R,28389994,AGAP002858
2R,28398908,AGAP002859
2R,28399681,AGAP002859
2R,28402979,AGAP002859
2R,28410967,AGAP002859
2R,28411343,AGAP002859
2R,28414457,AGAP002859
2R,28414591,AGAP002859
2R,28414710,AGAP002859
2R,28416339,AGAP002859
2R,28417278,AGAP002859
2R,28420156,AGAP002859
2R,28422100,AGAP002859
2R,28423000,AGAP002859
2R,28426813,AGAP002859
2R,28430053,AGAP002859
2R,28430332,AGAP002859
2R,28434608,AGAP002859
2R,28435647,AGAP002859
2R,28436308,AGAP002859
2R,28437202,AGAP002859
2R,28442690,AGAP002859
2R,28443175,AGAP002859
2R,28443915,AGAP002859
2R,28446107,AGAP002859
2R,28446670,AGAP002859
2R,28454138,AGAP002859
2R,28461351,AGAP002859
2R,28465232,AGAP002859
2R,28466855,AGAP002859
2R,28471635,AGAP002859
2R,28472841,AGAP002859
2R,28473612,AGAP002859
2R,28507866,AGAP002859
2R,28508699,AGAP002859
2R,28519069,AGAP013202
2R,28519824,AGAP013202
2R,28525066,AGAP000586
2R,28525296,AGAP000586
2R,28534085,AGAP002872
2R,28535449,AGAP002872
2R,28543828,AGAP029190
2R,28547604,AGAP002874
2R,28567598,AGAP002875
2R,28575794,AGAP002877
2R,28575794,AGAP002878
2R,28575794,AGAP002879
2R,28578998,AGAP002879
2R,28582895,AGAP002879
2R,28583285,AGAP002879
2R,28616734,AGAP002881
2R,28617460,AGAP002881
2R,28622158,AGAP002881
2R,28624606,AGAP002881
2R,28625753,AGAP002881
2R,28629922,AGAP002881
2R,28630862,AGAP002881
2R,28635167,AGAP002881
2R,28642177,AGAP002881
2R,28642851,AGAP002881
2R,28647230,AGAP002881
2R,28656233,AGAP002883
2R,28657053,AGAP002883
2R,28658275,AGAP002883
2R,28664367,AGAP002883
2R,28664644,AGAP002883
2R,28669105,AGAP013115
2R,28674185,AGAP002884
2R,28789069,AGAP002886
2R,28791057,AGAP002886
2R,28794783,AGAP002886
2R,28795044,AGAP002886
2R,28796044,AGAP002886
2R,28798504,AGAP002886
2R,28803601,AGAP002886
2R,28812398,AGAP002886
2R,28817055,AGAP002886
2R,28818036,AGAP002886
2R,28827266,AGAP002888
2R,28832360,AGAP002888
2R,28835307,AGAP002888
2R,28836911,AGAP002888
2R,28838349,AGAP002888
2R,28883844,AGAP013540
2R,28885461,AGAP013540
2R,28943875,AGAP002890
2R,28943875,AGAP002891
2R,28946410,AGAP002891
2R,28946932,AGAP002891
2R,28973636,AGAP002892
2R,28974148,AGAP002892
2R,28977644,AGAP002892
2R,28977644,AGAP002893
2R,28981877,AGAP002894
2R,29005637,AGAP002896
2R,29020844,AGAP002896
2R,29032397,AGAP002896
2R,29035612,AGAP002896
2R,29038788,AGAP002896
2R,29039030,AGAP002896
2R,29056919,AGAP002896
2R,29062243,AGAP002896
2R,29092031,AGAP002898
2R,29092031,AGAP012948
2R,29092031,AGAP013261
2R,29092031,AGAP013347
2R,29095099,AGAP002898
2R,29095099,AGAP013114
2R,29116473,AGAP002902
2R,29117793,AGAP002902
2R,29123937,AGAP002903
2R,29131055,AGAP002904
2R,29152593,AGAP013354
2R,29199679,AGAP002909
2R,29230276,AGAP002913
2R,29248820,AGAP002913
2R,29278679,AGAP002914
2R,29279144,AGAP002914
2R,29289715,AGAP002914
2R,29317915,AGAP002915
2R,29323302,AGAP002915
2R,29375123,AGAP002915
2R,29424690,AGAP002915
2R,29426884,AGAP002915
2R,29707238,AGAP029487
2R,29990685,AGAP002943
2R,30498385,AGAP002976
2R,36195196,AGAP003335
2R,36224081,AGAP003335
2R,36592822,AGAP003355
2R,36605170,AGAP003355
2R,37880352,AGAP003453
2R,37880352,AGAP013293
2R,38386380,AGAP029619
2R,38407261,AGAP029619
2R,38409887,AGAP029619
2R,38747965,AGAP003502
2R,38748090,AGAP003502
2R,38760525,AGAP003504
2R,39091882,AGAP003519
2R,39101623,AGAP003519
2R,39103372,AGAP003519
2R,39105227,AGAP003519
2R,39203378,AGAP012951
2R,39203512,AGAP012951
2R,39444796,AGAP003550
2R,39814712,AGAP028484
2R,39892497,AGAP003572
2R,39902818,AGAP003572
2R,39908624,AGAP003572
2R,39936087,AGAP003572
2R,39936271,AGAP003572
2R,39943386,AGAP003572
2R,40058362,AGAP029242
2R,40103608,AGAP003577
2R,40115403,AGAP003577
2R,40116161,AGAP003577
2R,40162650,AGAP003578
2R,40185482,AGAP003579
2R,40189415,AGAP003579
2R,40193125,AGAP003579
2R,40200553,AGAP003579
2R,40237608,AGAP003579
2R,40242134,AGAP003579
2R,40248026,AGAP003579
2R,40248346,AGAP003579
2R,40344293,AGAP003584
2R,40344293,AGAP003585
2R,40384668,AGAP003596
2R,40394277,AGAP003597
2R,40397687,AGAP003597
2R,40398340,AGAP003597
2R,40437436,AGAP003601
2R,40446568,AGAP003604
2R,40451422,AGAP003604
2R,40471814,AGAP003606
2R,40472060,AGAP003606
2R,40472902,AGAP003607
2R,40484018,AGAP003608
2R,40527685,AGAP029070
2R,40534737,AGAP029099
2R,40535425,AGAP029099
2R,40538184,AGAP029064
2R,40568627,AGAP003618
2R,40576184,AGAP003618
2R,40576184,AGAP003619
2R,40585023,AGAP003619
2R,40585142,AGAP003619
2R,40586055,AGAP003619
2R,40592752,AGAP003621
2R,40592752,AGAP003622
2R,40593556,AGAP003621
2R,40593556,AGAP003622
2R,40604510,AGAP003623
2R,40606969,AGAP003623
2R,40611414,AGAP003623
2R,40613977,AGAP003623
2R,40621051,AGAP003623
2R,40677650,AGAP029110
2R,40783130,AGAP003632
2R,40784990,AGAP003632
2R,40805089,AGAP003636
2R,40910205,AGAP003643
2R,40910498,AGAP003643
2R,40913567,AGAP003643
2R,40918633,AGAP003643
2R,40921498,AGAP003643
2R,40921618,AGAP003643
2R,40954246,AGAP003647
2R,40957856,AGAP003648
2R,40972474,AGAP003649
2R,40985754,AGAP003649
2R,40986764,AGAP003649
2R,40988428,AGAP003649
2R,41088753,AGAP003654
2R,41130413,AGAP013179
2R,41137787,AGAP013179
2R,41138223,AGAP013179
2R,41151167,AGAP013179
2R,41163803,AGAP003656
2R,41166340,AGAP003656
2R,41168913,AGAP003656
2R,41170768,AGAP003656
2R,41254913,AGAP003658
2R,41255821,AGAP003658
2R,41260593,AGAP003658
2R,41261746,AGAP003658
2R,41264231,AGAP003658
2R,41265039,AGAP003658
2R,41267626,AGAP003658
2R,41267818,AGAP003658
2R,41273258,AGAP003658
2R,41277264,AGAP003658
2R,41317587,AGAP003661
2R,41330359,AGAP003663
2R,41330359,AGAP013457
2R,41348045,AGAP013358
2R,41467302,AGAP003669
2R,41473652,AGAP003669
2R,41479762,AGAP003669
2R,41480841,AGAP003669
2R,41485249,AGAP003669
2R,41485618,AGAP003669
2R,41718593,AGAP003672
2R,41718912,AGAP003672
2R,41719407,AGAP003672
2R,41722316,AGAP003672
2R,41722955,AGAP003672
2R,41793102,AGAP003674
2R,41843546,AGAP003678
2R,42204411,AGAP003705
2R,42205115,AGAP003705
2R,42220605,AGAP003709
2R,42225838,AGAP003709
2R,42244175,AGAP003709
2R,42246796,AGAP003709
2R,42248028,AGAP003709
2R,42262895,AGAP003709
2R,42300839,AGAP003711
2R,42373253,AGAP003714
2R,42373687,AGAP003714
2R,42374148,AGAP003714
2R,42400863,AGAP003715
2R,42402687,AGAP003715
2R,42419604,AGAP013180
2R,42419604,AGAP003718
2R,42425544,AGAP003719
2R,42429422,AGAP003720
2R,42429733,AGAP003720
2R,42440102,AGAP003725
2R,42631711,AGAP003728
2R,42631711,AGAP003729
2R,42644361,AGAP003732
2R,42644361,AGAP003733
2R,42701682,AGAP029573
2R,42709867,AGAP029573
2R,42713842,AGAP029573
2R,42717064,AGAP029573
2R,42721573,AGAP029573
2R,42730608,AGAP029573
2R,42736855,AGAP029573
2R,42742292,AGAP029573
2R,42745742,AGAP029573
2R,42747559,AGAP029573
2R,43797786,AGAP003824
2R,46122578,AGAP003914
2R,46636183,AGAP003943
2R,46717944,AGAP003945
2R,46718091,AGAP003945
2R,47200932,AGAP003966
2R,47211664,AGAP003966
2R,47211664,AGAP003967
2R,47282737,AGAP003972
2R,47668662,AGAP003997
2R,47678107,AGAP003997
2R,47684373,AGAP003997
2R,47705151,AGAP003997
2R,47707129,AGAP003997
2R,47709277,AGAP003997
2R,47709615,AGAP003997
2R,47711142,AGAP003997
2R,47711954,AGAP003997
2R,47712072,AGAP003997
2R,47721591,AGAP003997
2R,47721591,AGAP003999
2R,47722180,AGAP003997
2R,47722180,AGAP003999
2R,47750614,AGAP004000
2R,47776945,AGAP004000
2R,47784409,AGAP004000
2R,47797316,AGAP004000
2R,47819214,AGAP004004
2R,47819214,AGAP004005
2R,47819560,AGAP004004
2R,47819560,AGAP004005
2R,47826870,AGAP004007
2R,47826870,AGAP004008
2R,47876250,AGAP004014
2R,47879463,AGAP004015
2R,47879463,AGAP013186
2R,48014288,AGAP004032
2R,48014516,AGAP004032
2R,48135016,AGAP004033
2R,48148673,AGAP004033
2R,48171834,AGAP004034
2R,48175561,AGAP004034
2R,48251486,AGAP004035
2R,48422906,AGAP013096
