"","id","order","outlier.pop"
"1","2L 1052485",62597590,"X11.15"
"2","2L 1052520",62597625,"X11.15"
"3","2L 1053941",62599046,"X11.891"
"4","2L 1090912",62636017,"X11.891"
"5","2L 1150292",62695397,"X11.891"
"6","2L 11570924",73116029,"X11.891"
"7","2L 1191310",62736415,"X0.384"
"8","2L 1194568",62739673,"X0.384"
"9","2L 1215570",62760675,"X0.384"
"10","2L 1267180",62812285,"X0.384"
"11","2L 1274827",62819932,"X0.384"
"12","2L 1286711",62831816,"X0.384"
"13","2L 1315591",62860696,"X0.384"
"14","2L 1319318",62864423,"X0.384"
"15","2L 1321427",62866532,"X0.384"
"16","2L 1327428",62872533,"X.8.821"
"17","2L 1414097",62959202,"X.3.862"
"18","2L 1418915",62964020,"X.8.821"
"19","2L 1419505",62964610,"X.8.821"
"20","2L 1424786",62969891,"X0.384"
"21","2L 1491463",63036568,"X0.384"
"22","2L 1492191",63037296,"X.8.821"
"23","2L 1519519",63064624,"X.8.821"
"24","2L 1519520",63064625,"X.8.821"
"25","2L 1526686",63071791,"X.8.821"
"26","2L 1535969",63081074,"X.8.821"
"27","2L 1536941",63082046,"X.8.821"
"28","2L 1537293",63082398,"X0.384"
"29","2L 1539437",63084542,"X.8.821"
"30","2L 1548112",63093217,"X.8.821"
"31","2L 1558327",63103432,"X0.77"
"32","2L 1561458",63106563,"X0.77"
"33","2L 1565464",63110569,"X0.77"
"34","2L 1631878",63176983,"X0.77"
"35","2L 164895",61710000,"X0.77"
"36","2L 16513088",78058193,"X0.77"
"37","2L 16513389",78058494,"X0.77"
"38","2L 16515338",78060443,"X0.77"
"39","2L 16517075",78062180,"X0.77"
"40","2L 16517187",78062292,"X0.77"
"41","2L 16522837",78067942,"X0.77"
"42","2L 16523514",78068619,"X0.77"
"43","2L 16524529",78069634,"X0.77"
"44","2L 1695211",63240316,"X0.77"
"45","2L 1701121",63246226,"X0.77"
"46","2L 1775579",63320684,"X0.77"
"47","2L 1776666",63321771,"X0.77"
"48","2L 186294",61731399,"X0.77"
"49","2L 18871564",80416669,"X0.77"
"50","2L 1892667",63437772,"X0.77"
"51","2L 19003446",80548551,"X0.77"
"52","2L 1922532",63467637,"X0.77"
"53","2L 1922646",63467751,"X0.77"
"54","2L 1923209",63468314,"X0.77"
"55","2L 1925353",63470458,"X0.77"
"56","2L 1925358",63470463,"X0.77"
"57","2L 1925928",63471033,"X0.77"
"58","2L 1925941",63471046,"X0.77"
"59","2L 1926012",63471117,"X0.77"
"60","2L 1926524",63471629,"X0.77"
"61","2L 1926867",63471972,"X0.77"
"62","2L 1927319",63472424,"X0.77"
"63","2L 1927499",63472604,"X0.77"
"64","2L 1927745",63472850,"X0.77"
"65","2L 1928490",63473595,"X0.77"
"66","2L 1928655",63473760,"X0.77"
"67","2L 1930104",63475209,"X0.77"
"68","2L 1930162",63475267,"X0.77"
"69","2L 1930308",63475413,"X0.77"
"70","2L 1930493",63475598,"X0.77"
"71","2L 1930781",63475886,"X0.77"
"72","2L 1931360",63476465,"X0.77"
"73","2L 1931367",63476472,"X0.77"
"74","2L 1932108",63477213,"X0.77"
"75","2L 1932441",63477546,"X0.77"
"76","2L 1932557",63477662,"X0.77"
"77","2L 1932743",63477848,"X0.77"
"78","2L 1933270",63478375,"X0.77"
"79","2L 1934869",63479974,"X0.77"
"80","2L 1935920",63481025,"X0.77"
"81","2L 1935929",63481034,"X0.77"
"82","2L 1941215",63486320,"X0.77"
"83","2L 1941231",63486336,"X0.77"
"84","2L 1942128",63487233,"X0.77"
"85","2L 1942436",63487541,"X0.77"
"86","2L 1942569",63487674,"X0.77"
"87","2L 1942801",63487906,"X0.77"
"88","2L 1942946",63488051,"X0.77"
"89","2L 1943290",63488395,"X0.77"
"90","2L 1943391",63488496,"X0.77"
"91","2L 1943583",63488688,"X0.77"
"92","2L 1947536",63492641,"X0.77"
"93","2L 1954505",63499610,"X0.77"
"94","2L 1956921",63502026,"X0.77"
"95","2L 1961026",63506131,"X0.77"
"96","2L 1961999",63507104,"X0.77"
"97","2L 1962357",63507462,"X0.77"
"98","2L 1962468",63507573,"X0.77"
"99","2L 1964018",63509123,"X0.77"
"100","2L 1965535",63510640,"X0.77"
"101","2L 1967269",63512374,"X0.77"
"102","2L 1967486",63512591,"X0.77"
"103","2L 1967509",63512614,"X0.77"
"104","2L 1969047",63514152,"X0.77"
"105","2L 1970392",63515497,"X0.77"
"106","2L 1971218",63516323,"X0.77"
"107","2L 1973901",63519006,"X0.77"
"108","2L 1973902",63519007,"X0.77"
"109","2L 1975503",63520608,"X0.77"
"110","2L 1976336",63521441,"X0.77"
"111","2L 2003887",63548992,"X0.77"
