seqid,pos[w],gene
2R,2066518,AGAP013220
2R,2066518,AGAP001258
2R,3343591,AGAP001343
2R,5155022,AGAP001446
2R,7833925,AGAP029810
2R,7850528,AGAP001674
2R,11588531,AGAP001863
2R,12869628,AGAP001961
2R,12869628,AGAP001960
2R,12926750,AGAP001962
2R,12942035,AGAP001962
2R,12943234,AGAP001962
2R,12945885,AGAP001962
2R,12946903,AGAP001962
2R,12947939,AGAP001962
2R,12949974,AGAP001962
2R,13403703,AGAP002002
2R,13403703,AGAP012983
2R,13403703,AGAP002003
2R,16645172,AGAP013242
2R,17306230,AGAP002186
2R,17306834,AGAP002186
2R,17599770,AGAP002209
2R,18516042,AGAP002278
2R,20156012,AGAP002336
2R,20182973,AGAP002336
2R,20203171,AGAP002336
2R,20220577,AGAP002336
2R,24857953,AGAP002640
2R,24858073,AGAP002640
2R,24858362,AGAP002640
2R,24858590,AGAP002640
2R,24858733,AGAP002640
2R,24872813,AGAP013225
2R,24893515,AGAP002644
2R,24893515,AGAP002642
2R,26284266,AGAP013513
2R,26797469,AGAP013285
2R,26797469,AGAP002763
2R,27901110,AGAP002813
2R,27973683,AGAP002817
2R,27973683,AGAP002820
2R,27979438,AGAP002821
2R,27979438,AGAP002822
2R,27980924,AGAP002822
2R,27997458,AGAP002824
2R,27998948,AGAP002824
2R,27999816,AGAP002824
2R,28008218,AGAP002824
2R,28008218,AGAP002825
2R,28012020,AGAP002824
2R,28012020,AGAP002825
2R,28013131,AGAP002824
2R,28013131,AGAP002825
2R,28017418,AGAP002824
2R,28019519,AGAP002824
2R,28032135,AGAP002824
2R,28033472,AGAP002824
2R,28047421,AGAP002826
2R,28049444,AGAP002826
2R,28051063,AGAP002826
2R,28051406,AGAP002826
2R,28058963,AGAP002828
2R,28068344,AGAP002829
2R,28069757,AGAP002829
2R,28074918,AGAP002829
2R,28074918,AGAP002830
2R,28076484,AGAP002830
2R,28078874,AGAP002830
2R,28082045,AGAP002830
2R,28087182,AGAP002831
2R,28087182,AGAP013130
2R,28087320,AGAP002831
2R,28087320,AGAP013130
2R,28121780,AGAP002832
2R,28278090,AGAP002845
2R,28294695,AGAP002846
2R,28294841,AGAP002846
2R,28295399,AGAP002846
2R,28295718,AGAP002846
2R,28296802,AGAP002846
2R,28297976,AGAP013388
2R,28316081,AGAP013529
2R,28316081,AGAP013314
2R,28327007,AGAP002858
2R,28327462,AGAP002858
2R,28330403,AGAP002858
2R,28330878,AGAP002858
2R,28331820,AGAP002858
2R,28332640,AGAP002858
2R,28333129,AGAP002858
2R,28336793,AGAP002858
2R,28345370,AGAP002858
2R,28347804,AGAP002858
2R,28348634,AGAP002858
2R,28348808,AGAP002858
2R,28349823,AGAP002858
2R,28349976,AGAP002858
2R,28352447,AGAP002858
2R,28357910,AGAP002858
2R,28358413,AGAP002858
2R,28359958,AGAP002858
2R,28362631,AGAP002858
2R,28365838,AGAP002858
2R,28366109,AGAP002858
2R,28366785,AGAP002858
2R,28367499,AGAP002858
2R,28367680,AGAP002858
2R,28369250,AGAP002858
2R,28371512,AGAP002858
2R,28373929,AGAP002858
2R,28384187,AGAP002858
2R,28390131,AGAP002858
2R,28398908,AGAP002859
2R,28401918,AGAP002859
2R,28404894,AGAP002859
2R,28405673,AGAP002859
2R,28406950,AGAP002859
2R,28410225,AGAP002859
2R,28415327,AGAP002859
2R,28420512,AGAP002859
2R,28421941,AGAP002859
2R,28423000,AGAP002859
2R,28427997,AGAP002859
2R,28429790,AGAP002859
2R,28430053,AGAP002859
2R,28436073,AGAP002859
2R,28437964,AGAP002859
2R,28439064,AGAP002859
2R,28439354,AGAP002859
2R,28440094,AGAP002859
2R,28440784,AGAP002859
2R,28440884,AGAP002859
2R,28441433,AGAP002859
2R,28442195,AGAP002859
2R,28442446,AGAP002859
2R,28444022,AGAP002859
2R,28444529,AGAP002859
2R,28445714,AGAP002859
2R,28446236,AGAP002859
2R,28449498,AGAP002859
2R,28450633,AGAP002859
2R,28451252,AGAP002859
2R,28451354,AGAP002859
2R,28451471,AGAP002859
2R,28454960,AGAP002859
2R,28458729,AGAP002859
2R,28460234,AGAP002859
2R,28462256,AGAP002859
2R,28462382,AGAP002859
2R,28463650,AGAP002859
2R,28464295,AGAP002859
2R,28464425,AGAP002859
2R,28469905,AGAP002859
2R,28473612,AGAP002859
2R,28473750,AGAP002859
2R,28475025,AGAP002859
2R,28476943,AGAP002859
2R,28486815,AGAP002859
2R,28486815,AGAP002863
2R,28486815,AGAP002864
2R,28519824,AGAP013202
2R,28522354,AGAP000586
2R,28522922,AGAP000586
2R,28523733,AGAP000586
2R,28524586,AGAP000586
2R,28524924,AGAP000586
2R,28534319,AGAP002872
2R,28534420,AGAP002872
2R,28534644,AGAP002872
2R,28534929,AGAP002872
2R,28536571,AGAP002872
2R,28536571,AGAP029190
2R,28537766,AGAP029190
2R,28539182,AGAP029190
2R,28545568,AGAP029190
2R,28545568,AGAP002874
2R,28546410,AGAP002874
2R,28549298,AGAP002874
2R,28566278,AGAP002875
2R,28566638,AGAP002875
