seqid,pos[w],gene
2R,3343591,AGAP001343
2R,5836665,AGAP001523
2R,13941469,AGAP002015
2R,16643460,AGAP013436
2R,17328610,AGAP002188
2R,19394993,AGAP002315
2R,20147740,AGAP002336
2R,20840097,AGAP002379
2R,20840097,AGAP002382
2R,21084583,AGAP002422
2R,21087002,AGAP002423
2R,21087155,AGAP002423
2R,21087533,AGAP002423
2R,21477182,AGAP002444
2R,21483007,AGAP002444
2R,22886535,AGAP002564
2R,22888640,AGAP002564
2R,22891973,AGAP002564
2R,23278973,AGAP002581
2R,23278973,AGAP002582
2R,24825443,AGAP002638
2R,24830302,AGAP002638
2R,24878629,AGAP013110
2R,25219644,AGAP002663
2R,25443632,AGAP002677
2R,25886484,AGAP002707
2R,26313817,AGAP002732
2R,27999590,AGAP002824
2R,28011093,AGAP002824
2R,28011093,AGAP002825
2R,28187466,AGAP002835
2R,28218883,AGAP002841
2R,28316081,AGAP013529
2R,28316081,AGAP013314
2R,28367680,AGAP002858
2R,28390131,AGAP002858
2R,28401918,AGAP002859
2R,28442195,AGAP002859
2R,28460234,AGAP002859
2R,28473750,AGAP002859
2R,28524217,AGAP000586
2R,28545568,AGAP029190
2R,28545568,AGAP002874
2R,28549298,AGAP002874
2R,28549835,AGAP002874
2R,28566278,AGAP002875
2R,28566638,AGAP002875
2R,28587523,AGAP002879
2R,28587523,AGAP002880
2R,28589466,AGAP002880
2R,28617966,AGAP002881
2R,28621826,AGAP002881
2R,28630252,AGAP002881
2R,28640254,AGAP002881
2R,28646350,AGAP002881
2R,28653502,AGAP002883
2R,28656457,AGAP002883
2R,28656946,AGAP002883
2R,28674733,AGAP002884
2R,38776610,AGAP003507
2R,38776610,AGAP003508
2R,40100001,AGAP003577
2R,40422728,AGAP003600
2R,46319832,AGAP029118
2R,54929831,AGAP004348
2R,55002338,AGAP004354
2R,55326167,AGAP004369
2R,57994117,AGAP004585
2R,58307408,AGAP004604
2R,58307408,AGAP029686
2R,58307408,AGAP029457
2R,58380318,AGAP013073
2R,58380318,AGAP004611
2R,58437510,AGAP004613
2R,58637497,AGAP004628
2R,58800596,AGAP004637
2R,58805457,AGAP004638
2R,58805457,AGAP004639
2R,58823119,AGAP004640
2R,59019670,AGAP004645
2R,59747535,AGAP004659
2R,59772570,AGAP004659
2R,59831519,AGAP004660
2R,59858484,AGAP004660
2R,60129179,AGAP004661
2R,60150573,AGAP004661
2R,60247157,AGAP004662
2R,60253882,AGAP004662
2R,60700711,AGAP004665
2R,60786106,AGAP028490
2R,60786106,AGAP004668
2R,61022135,AGAP013143
2R,61034833,AGAP013143
2R,61038592,AGAP013143
2R,61038753,AGAP013143
2R,61067976,AGAP013143
2R,61071566,AGAP013143
2R,61075957,AGAP013143
2R,61090641,AGAP013143
2R,61131946,AGAP013143
2R,61132849,AGAP013143
2R,61140924,AGAP013143
2R,61143083,AGAP013143
2R,61146092,AGAP013143
2R,61161940,AGAP013143
2R,61167547,AGAP013143
2R,61174491,AGAP013143
2R,61174670,AGAP013143
2R,61176665,AGAP004671
2R,61177607,AGAP004671
2R,61178776,AGAP004671
2R,61179089,AGAP004671
2R,61179620,AGAP004671
2R,61179947,AGAP004671
2R,61181002,AGAP004671
2R,61182902,AGAP004671
2R,61183855,AGAP004671
2R,61184332,AGAP004671
2R,61184450,AGAP004671
2R,61185165,AGAP004671
2R,61185415,AGAP004671
2R,61186620,AGAP004671
2R,61190551,AGAP004671
2R,61230005,AGAP004672
2R,61230735,AGAP004672
2R,61230931,AGAP004672
2R,61232570,AGAP004672
2R,61237745,AGAP004672
2R,61241197,AGAP004672
2R,61242334,AGAP004672
2R,61253073,AGAP004672
2R,61253745,AGAP004672
2R,61305206,AGAP004674
2R,61371608,AGAP004675
2R,61371733,AGAP004675
2R,61393284,AGAP004675
2R,61416308,AGAP004675
2L,166741,AGAP004677
2L,186294,AGAP004677
2L,186687,AGAP004677
2L,357650,AGAP004681
2L,459309,AGAP004682
2L,487497,AGAP004683
2L,495891,AGAP004685
2L,496673,AGAP004685
2L,741610,AGAP004686
2L,950975,AGAP028432
2L,976509,AGAP028432
2L,988267,AGAP028432
2L,1279327,AGAP004691
2L,1285301,AGAP004691
2L,1298504,AGAP004691
2L,1322030,AGAP028433
2L,1420940,AGAP004692
2L,1776666,AGAP029368
2L,1926787,AGAP004696
2L,1927319,AGAP004696
2L,1964565,AGAP004696
2L,1967269,AGAP004698
2L,2085017,AGAP029667
2L,2085662,AGAP029667
2L,2108881,AGAP029667
2L,2112116,AGAP029667
2L,2114488,AGAP029667
2L,2114894,AGAP029667
2L,2118659,AGAP029667
2L,2120136,AGAP029667
2L,2121474,AGAP029667
2L,2122053,AGAP029667
2L,2131395,AGAP029667
2L,2167322,AGAP029667
2L,2273300,AGAP028437
2L,2279836,AGAP028437
2L,2374654,AGAP004707
2L,2375326,AGAP004707
2L,2382231,AGAP004707
2L,2384860,AGAP004707
2L,2389497,AGAP004707
2L,2389896,AGAP004707
2L,2391802,AGAP004707
2L,2392954,AGAP004707
2L,2404453,AGAP004707
2L,2415397,AGAP004707
2L,2432414,AGAP004707
2L,2472174,AGAP004708
2L,2488584,AGAP004711
2L,2488906,AGAP004711
2L,2812574,AGAP004727
2L,2812767,AGAP004727
2L,2813589,AGAP004727
2L,2824683,AGAP004728
2L,2828965,AGAP004728
2L,2829227,AGAP004728
2L,2918242,AGAP029113
2L,2918242,AGAP004733
2L,2919598,AGAP029113
2L,2919598,AGAP004733
2L,2970468,AGAP004736
2L,2970468,AGAP004737
2L,2975319,AGAP004738
2L,2975319,AGAP004739
2L,3026511,AGAP004744
2L,3026511,AGAP004745
2L,3053257,AGAP004751
2L,3112140,AGAP004761
2L,3117010,AGAP004761
2L,3120122,AGAP004761
2L,3121144,AGAP004761
2L,3122145,AGAP004761
2L,3163937,AGAP004766
2L,3169012,AGAP004766
2L,3169281,AGAP004766
2L,3178006,AGAP004766
2L,3178664,AGAP004766
2L,3204551,AGAP004767
2L,3206712,AGAP004767
2L,3212503,AGAP004767
2L,3213400,AGAP004767
2L,3228502,AGAP004767
2L,3229377,AGAP004767
2L,3232038,AGAP004767
2L,3289728,AGAP004768
2L,3293441,AGAP004769
2L,3295862,AGAP004769
2L,3299093,AGAP004769
2L,3308758,AGAP004769
2L,3346140,AGAP004772
2L,3352630,AGAP004772
2L,3375599,AGAP004772
2L,3387261,AGAP004774
2L,3402761,AGAP004775
2L,3402761,AGAP004776
2L,3410269,AGAP004775
2L,3413655,AGAP004775
2L,3423829,AGAP004775
2L,3430210,AGAP004775
2L,3431960,AGAP004775
2L,3432281,AGAP004775
2L,3436918,AGAP004775
2L,3438356,AGAP004775
2L,3446984,AGAP004775
2L,3446984,AGAP004778
2L,3453187,AGAP004780
2L,3456754,AGAP004780
2L,3485294,AGAP004783
2L,3489167,AGAP004783
2L,3492291,AGAP004783
2L,3492793,AGAP004783
2L,3500117,AGAP004783
2L,3503463,AGAP004783
2L,3523073,AGAP004784
2L,3541705,AGAP004785
2L,3582723,AGAP004792
2L,3618127,AGAP004795
2L,3740673,AGAP004801
2L,3760248,AGAP004805
2L,3779703,AGAP004806
2L,3779703,AGAP004807
2L,3808031,AGAP004812
2L,3974170,AGAP004824
2L,4354394,AGAP029668
2L,4434003,AGAP004847
2L,4446658,AGAP004850
2L,4526795,AGAP004861
2L,4557808,AGAP004862
2L,4558830,AGAP004862
2L,4574451,AGAP004863
2L,4667063,AGAP004866
2L,4667590,AGAP004866
2L,4675700,AGAP004866
2L,4752678,AGAP004871
2L,4771635,AGAP004873
2L,4774959,AGAP004873
2L,4791478,AGAP004873
2L,4822254,AGAP004874
2L,4846492,AGAP004876
2L,4860189,AGAP004877
2L,4879918,AGAP004878
2L,4879918,AGAP004879
2L,4886235,AGAP004878
2L,4907984,AGAP004880
2L,4908990,AGAP004880
2L,4918214,AGAP004881
2L,4937841,AGAP004882
2L,4953358,AGAP004884
2L,4953358,AGAP004885
2L,4973123,AGAP004888
2L,5027704,AGAP004892
2L,7441542,AGAP004975
2L,7448529,AGAP004976
2L,7449524,AGAP004976
2L,8595905,AGAP005030
2L,8599531,AGAP005030
2L,8599655,AGAP005030
2L,22412315,AGAP029512
2L,25287047,AGAP006027
2L,25685867,AGAP006058
2L,25719513,AGAP006058
2L,25971294,AGAP006063
2L,26355721,AGAP006088
2L,28051443,AGAP029656
2L,28519611,AGAP006221
2L,28533686,AGAP006224
2L,28548748,AGAP006227
2L,28548748,AGAP006228
2L,33480863,AGAP006514
2L,33891704,AGAP006526
2L,33929215,AGAP006529
2L,33929215,AGAP013364
2L,33929215,AGAP006530
2L,33929215,AGAP013488
2L,33999779,AGAP006536
2L,34002490,AGAP006536
2L,34061011,AGAP006540
2L,34081254,AGAP006541
2L,34152483,AGAP029823
2L,34152483,AGAP006568
2L,34170471,AGAP006570
2L,34170471,AGAP006571
2L,34193382,AGAP006571
2L,34221503,AGAP006575
2L,34221503,AGAP006576
2L,34225460,AGAP006576
2L,34225460,AGAP006577
2L,34291080,AGAP006590
2L,34293836,AGAP006590
2L,34295728,AGAP006590
2L,37654294,AGAP028400
2L,38115179,AGAP006774
2L,38911347,AGAP029584
2L,39033305,AGAP006826
3R,62132,AGAP007734
3R,152279,AGAP007737
3R,176410,AGAP007742
3R,6363726,AGAP029542
3R,6363726,AGAP008169
3R,6364218,AGAP029542
3R,6364218,AGAP008169
3R,6365019,AGAP029542
3R,6365019,AGAP008169
3R,6368632,AGAP029542
3R,6368632,AGAP028664
3R,6368912,AGAP029542
3R,6368912,AGAP028664
3R,6368912,AGAP028663
3R,6369616,AGAP029542
3R,6369616,AGAP028664
3R,6369616,AGAP028663
3R,6369727,AGAP029542
3R,6369727,AGAP028664
3R,6369727,AGAP028663
3R,6375928,AGAP029542
3R,6375928,AGAP008173
3R,6376117,AGAP029542
3R,6376117,AGAP008173
3R,6376261,AGAP029542
3R,6376261,AGAP008173
3R,6376501,AGAP029542
3R,6376501,AGAP008173
3R,6377322,AGAP029542
3R,6377322,AGAP008173
3R,6378746,AGAP029542
3R,6381219,AGAP029542
3R,6388004,AGAP029542
3R,19716891,AGAP008859
3R,26437017,AGAP009129
3R,28123162,AGAP009174
3R,28123162,AGAP009175
3R,28139869,AGAP009176
3R,28140375,AGAP009176
3R,28163833,AGAP009180
3R,28182268,AGAP009180
3R,28212038,AGAP009182
3R,28366367,AGAP009183
3R,28371618,AGAP009183
3R,28371780,AGAP009183
3R,28375255,AGAP009183
3R,28382567,AGAP009183
3R,28493688,AGAP009184
3R,28494722,AGAP009184
3R,28567984,AGAP009185
3R,28568225,AGAP009185
3R,28569792,AGAP009185
3R,28574810,AGAP009188
3R,28575827,AGAP009188
3R,28575827,AGAP009189
3R,28576450,AGAP009189
3R,28576968,AGAP009189
3R,28577565,AGAP009189
3R,28582186,AGAP009189
3R,28584285,AGAP009189
3R,28584656,AGAP009189
3R,28584780,AGAP009189
3R,28585441,AGAP009189
3R,28589968,AGAP009189
3R,28589968,AGAP009190
3R,28590827,AGAP009189
3R,28590827,AGAP009190
3R,28591118,AGAP009190
3R,28591855,AGAP009190
3R,28594181,AGAP009191
3R,28594181,AGAP009192
3R,28599052,AGAP009194
3R,28599052,AGAP009195
3R,28601897,AGAP009196
3R,28601897,AGAP009197
3R,28606123,AGAP009198
3R,28610191,AGAP009198
3R,28610191,AGAP009199
3R,28616678,AGAP009200
3R,28622500,AGAP009200
3R,28622807,AGAP009200
3R,28623099,AGAP009200
3R,28624105,AGAP009200
3R,28624105,AGAP009201
3R,28628208,AGAP009201
3R,28631546,AGAP009201
3R,28634359,AGAP009201
3R,28635333,AGAP009201
