"","id","order","outlier.pop"
"1","2L 10748274",72293379,"X0.384"
"2","2L 10968943",72514048,"X0.384"
"3","2L 10968944",72514049,"X0.384"
"4","2L 10968945",72514050,"X0.384"
"5","2L 14451361",75996466,"X0.384"
"6","2L 14465737",76010842,"X0.384"
"7","2L 14662260",76207365,"X0.384"
"8","2L 14845162",76390267,"X0.384"
"9","2L 14845356",76390461,"X0.384"
"10","2L 15314408",76859513,"X0.384"
"11","2L 15325564",76870669,"X.3.635"
"12","2L 15331455",76876560,"X11.891"
"13","2L 15331673",76876778,"X.8.821"
"14","2L 15332110",76877215,"X.8.821"
"15","2L 15332422",76877527,"X.8.821"
"16","2L 15332431",76877536,"X.8.821"
"17","2L 15332438",76877543,"X11.891"
"18","2L 15334772",76879877,"X.8.821"
"19","2L 15334788",76879893,"X.8.821"
"20","2L 15335081",76880186,"X0.384"
"21","2L 15337234",76882339,"X.8.821"
"22","2L 15340896",76886001,"X.8.821"
"23","2L 15340980",76886085,"X.8.821"
"24","2L 15342808",76887913,"X.8.821"
"25","2L 15347777",76892882,"X.8.821"
"26","2L 15347795",76892900,"X.8.821"
"27","2L 15363717",76908822,"X.8.821"
"28","2L 15363729",76908834,"X.8.821"
"29","2L 15363802",76908907,"X.8.821"
"30","2L 15364841",76909946,"X.8.821"
"31","2L 15394967",76940072,"X.8.821"
"32","2L 15405738",76950843,"X.8.821"
"33","2L 15488151",77033256,"X.8.821"
"34","2L 15488288",77033393,"X.8.821"
"35","2L 15514578",77059683,"X.8.821"
"36","2L 15514779",77059884,"X.8.821"
"37","2L 15516473",77061578,"X.8.821"
"38","2L 15534920",77080025,"X.8.821"
"39","2L 15537072",77082177,"X.8.821"
"40","2L 15552410",77097515,"X.8.821"
"41","2L 15556293",77101398,"X.8.821"
"42","2L 15556841",77101946,"X.8.821"
"43","2L 15557687",77102792,"X.8.821"
"44","2L 15557692",77102797,"X.8.821"
"45","2L 15557701",77102806,"X.8.821"
"46","2L 15560109",77105214,"X.8.821"
"47","2L 15561047",77106152,"X.8.821"
"48","2L 15561800",77106905,"X.8.821"
"49","2L 15562205",77107310,"X.8.821"
"50","2L 15563688",77108793,"X.8.821"
"51","2L 15564373",77109478,"X.8.821"
"52","2L 15564785",77109890,"X.8.821"
"53","2L 15565593",77110698,"X.8.821"
"54","2L 15566931",77112036,"X.8.821"
"55","2L 15571816",77116921,"X.8.821"
"56","2L 15574677",77119782,"X.8.821"
