"","id","med.resid","int","stdevresid","f","cor","outlier","class"
"859","2R 28790709",0.013719213851722,0.0142093902599054,0.0364703384718618,0.0355020225376471,0.032961273397347,0.077190361016343,"accept"
"531","2R 28343652",0.0058781279040728,0.0123062254095916,0.0069472913852331,0.263978529259391,0.0948503179415568,0.119133658886859,"accept"
"1917","3L 10409844",0.0273704688009689,0.0509322274129432,0.025103950441149,0.0845571402246417,0.0518565788613431,0.327500436935416,"reject"
"512","2R 28324658",0.000732941117869,0.00467457898950018,0.014883279614579,0.061953633155423,0.050205983839598,0.131877013002505,"accept"
"1523","2R 42015950",0.0076046789599745,0.00247784454254312,0.0105349576361972,0.278533259261834,0.0953783117131551,0.109484152296314,"accept"
"1582","2R 42416184",0.0104409546920982,0.0027384532097536,0.0118447304820281,0.367752777005742,0.115131853683351,0.19030501135393,"accept"
"951","2R 29015970",0.0083220131326266,0.0406936889185185,0.014792878619286,2.88804186301266,0.19934633976818,0.037036277249483,"reject"
"1457","2R 41473494",0.0090758416304366,0.0112670225496654,0.035236467608972,0.528088582914455,0.188528542657356,0.123891184456507,"reject"
"672","2R 28472841",0.0082646419254262,0.0054998674293275,0.013439556871235,0.075484770437438,0.021907139814279,0.023105897546277,"reject"
"915","2R 28933533",0.0017797083011813,0.00439013415864592,0.015941946886385,0.031811045334302,0.036311334844087,0.032754868893483,"accept"
"589","2R 28396800",0.0197340059908982,0.0101846584612352,0.0450147146620083,0.164037613086044,0.068195517350906,0.036727159062624,"accept"
"1377","2R 41257981",0.0110976444683938,0.0050883345387704,0.0274125522897974,0.140503086122277,0.064036001805507,0.007447402674434,"reject"
"192","2L 3617768",0.0009064321615701,0.0116009640186598,0.0048124494332024,0.620721895524104,0.034122879971988,0.033053091486827,"accept"
"1049","2R 39795513",0.0093500426129158,0.00511714661344794,0.0234905495265491,0.00326024579218198,0.040942857597132,0.006539150017893,"accept"
"564","2R 28371840",0.019205826047941,0.0101251624140776,0.0429712283646393,0.163482685674507,0.068092120370518,0.031762244459156,"accept"
"370","2R 28071249",0.0098875480122319,0.00305942034189503,0.0319836460147307,0.098193138609205,0.056548615112341,0.130555886913993,"accept"
"1013","2R 29310319",0.0010463980888766,0.0149679314645983,0.0177183312094721,0.322706123549266,0.2578404878347,0.000344248364888,"reject"
"517","2R 28329914",0.0037103970625485,0.00763417952880067,0.0159977030410637,0.081018432571837,0.052644976180381,0.162653584635572,"accept"
"1296","2R 40814220",0.0161756973659645,0.00907477894828833,0.0402903252282682,0.013472353914219,0.038506404186058,0.03914469760229,"accept"
"1293","2R 40804305",0.0110467996134599,0.0068865738846929,0.0317322109041774,0.485161696760371,0.15060714515448,0.036997494930216,"reject"
"636","2R 28444245",0.0197379316649061,0.0049649221988248,0.0582917656916481,0.145016676480939,0.064708569005043,0.059201306322319,"accept"
"1931","3R 25816730",0.0357745588619019,0.0373794095840021,0.0108787141036457,0.455126276436841,0.359060093543846,0.053131206143254,"reject"
"201","2L 3740673",0.0150654271286622,0.0091965365871846,0.0660112762810681,0.0363710879335812,0.0374102517030116,0.182234818790328,"accept"
"1885","2R 59295522",0.0083573545881008,0.0101175676832522,0.029620149627279,0.060522821662225,0.043543482979628,0.0122119546145749,"accept"
"1140","2R 40138992",0.0079368785860034,0.000492335280183498,0.013912606573697,0.133208167392584,0.062246292123453,0.136554490922104,"reject"
"702","2R 28543282",0.0242311743103085,0.0119425933185563,0.0576537631190134,0.066085994511463,0.051036041755093,0.131242670332817,"accept"
"1341","2R 41090263",0.0141661608550454,0.00916071038627296,0.0304205080261446,0.084510056744752,0.054467612372611,0.028587617797925,"accept"
"1035","2R 39383145",0.0037165083162783,0.00548616259636088,0.0068850566576753,0.064556647252811,0.048575030602731,0.11325897650006,"accept"
"1798","2R 52693474",0.0095756833933935,0.0169631182380011,0.0081273094978349,0.456054053078493,0.160611004752978,0.067438254814493,"reject"
"1105","2R 40005001",0.0123271397709134,0.0027728573241809,0.0347750459751412,0.31659112586537,0.103734489136999,0.025813444089229,"accept"
"1234","2R 40524798",0.0161273199419149,0.0115785931882793,0.0402848701929772,0.0427473091915651,0.032913131284416,0.005147321961111,"accept"
"668","2R 28466599",0.0064262696346299,0.0039911150655675,0.007194825426518,0.0829220922756,0.053594153262192,0.03345162829536,"accept"
"1438","2R 41408281",0.0134181913754746,0.00527372753173796,0.0163716746145516,0.33060924437419,0.103265194738427,0.259350604554482,"accept"
"1142","2R 40140631",0.0149097738454044,0.0188202476060092,0.0152371723285847,0.299563797996851,0.00260303952959101,0.202544710175354,"accept"
"202","2L 3760082",0.0196339745022212,0.0205294712386865,0.0615571567965833,0.000226154691547338,8.94132482825698e-05,0.117109556641005,"accept"
"1","2L 1419093",0.0062624788704452,0.0034525412126553,0.0122521430493258,0.176143599810167,0.012391820321563,0.00021216407355,"reject"
"1579","2R 42403636",0.0109434710067208,0.00495917027826071,0.0108742076133685,0.43428879786885,0.124840774549005,0.19030501135393,"accept"
"1971","X 14889422",0.0119637686258602,0.0037281606819615,0.0336435234371445,0.141624439513545,0.0650141485667899,0.110051857917105,"reject"
"825","2R 28697355",0.0001692212107514,0.0012814962059538,0.0242577604340179,0.161855747567243,0.067770755345991,0.220416318740308,"accept"
"399","2R 28143839",0.000363391573805001,0.00637550032889052,0.010174792281396,0.002913088732444,0.040744230918396,0.020608320517715,"accept"
"278","2R 27576186",0.0084139758753557,0.0125226443654223,0.0109752755986848,0.162802380745445,0.067973554773303,0.178413680926993,"accept"
"1503","2R 41789240",0.0100239090976382,0.0035549629422832,0.0203917179187121,0.267411037897533,0.0902359677687,0.078967064082071,"accept"
"153","2L 3409231",0.0060318942217472,0.00249462406484021,0.0265147986773617,0.031090418729118,0.036444775239307,0.047815437574474,"accept"
"941","2R 29001237",0.0109741765089213,0.0036483249017536,0.00470294168988,0.330220707432322,0.092520687678933,0.151935732494334,"reject"
"1037","2R 39465589",0.0035892404162342,0.0095314396770883,0.0028416393308245,0.375034854571906,0.139742101653568,0.130913754026005,"reject"
"414","2R 28160035",0.0053988999619014,0.00087390043090908,0.0241519069549915,0.166925086816028,0.015040673748256,0.0220133826569471,"accept"
