"","id","order","outlier.pop"
"1","2L 1419093",62964198,"X0.77"
"2","2L 1563971",63109076,"X5.747"
"3","2L 1599249",63144354,"X4.341"
"4","2L 1616882",63161987,"X0.77"
"5","2L 1631992",63177097,"X4.341"
"6","2L 1695497",63240602,"X4.341"
"7","2L 1701121",63246226,"X4.341"
"8","2L 1776937",63322042,"X4.341"
"9","2L 1927319",63472424,"X4.341"
"10","2L 1942628",63487733,"X4.341"
"11","2L 1967269",63512374,"X0.77"
"12","2L 1967509",63512614,"X4.341"
"13","2L 1973901",63519006,"X0.77"
"14","2L 1973902",63519007,"X4.341"
"15","2L 2003887",63548992,"X0.77"
"16","2L 2004700",63549805,"X0.77"
"17","2L 2026819",63571924,"X0.77"
"18","2L 2047219",63592324,"X0.77"
"19","2L 2050169",63595274,"X0.77"
"20","2L 2051407",63596512,"X0.77"
"21","2L 2056655",63601760,"X0.77"
"22","2L 2066671",63611776,"X0.77"
"23","2L 2067030",63612135,"X0.77"
"24","2L 2081233",63626338,"X0.77"
"25","2L 2083768",63628873,"X4.341"
"26","2L 2114488",63659593,"X4.341"
"27","2L 2120136",63665241,"X0.77"
"28","2L 2120211",63665316,"X0.77"
"29","2L 2122053",63667158,"X0.77"
"30","2L 2131395",63676500,"X0.77"
"31","2L 2131598",63676703,"X0.77"
"32","2L 2133421",63678526,"X0.77"
"33","2L 2142623",63687728,"X0.77"
"34","2L 2160658",63705763,"X0.77"
"35","2L 2161724",63706829,"X4.341"
"36","2L 2249610",63794715,"X0.77"
"37","2L 2254261",63799366,"X0.77"
"38","2L 2271144",63816249,"X0.77"
"39","2L 2271581",63816686,"X0.77"
"40","2L 2271888",63816993,"X4.341"
"41","2L 2272305",63817410,"X0.77"
"42","2L 2273300",63818405,"X0.77"
"43","2L 2274087",63819192,"X0.77"
"44","2L 2277227",63822332,"X0.77"
"45","2L 2277275",63822380,"X0.77"
"46","2L 2279702",63824807,"X0.77"
"47","2L 2279836",63824941,"X0.77"
"48","2L 2280158",63825263,"X0.77"
"49","2L 2280985",63826090,"X0.77"
"50","2L 2284131",63829236,"X0.77"
"51","2L 2284680",63829785,"X0.77"
"52","2L 2287276",63832381,"X5.747"
"53","2L 2288955",63834060,"X0.77"
"54","2L 2290010",63835115,"X4.341"
"55","2L 2376095",63921200,"X0.77"
"56","2L 2401282",63946387,"X0.77"
"57","2L 2487728",64032833,"X0.77"
"58","2L 25713294",87258399,"X0.77"
"59","2L 2577857",64122962,"X4.341"
"60","2L 2598474",64143579,"X0.77"
"61","2L 2611318",64156423,"X0.77"
"62","2L 2611688",64156793,"X5.747"
"63","2L 2613903",64159008,"X5.747"
"64","2L 2615831",64160936,"X4.777"
"65","2L 2622683",64167788,"X4.777"
"66","2L 2686405",64231510,"X0.77"
"67","2L 2687250",64232355,"X0.77"
"68","2L 2691510",64236615,"X4.341"
"69","2L 2691683",64236788,"X4.341"
"70","2L 2707770",64252875,"X4.341"
"71","2L 2728168",64273273,"X0.77"
"72","2L 2759846",64304951,"X0.77"
"73","2L 2760863",64305968,"X0.77"
"74","2L 2846092",64391197,"X0.77"
"75","2L 2863544",64408649,"X5.747"
"76","2L 2882773",64427878,"X4.341"
"77","2L 2884093",64429198,"X0.77"
"78","2L 2886204",64431309,"X0.77"
"79","2L 2886791",64431896,"X0.77"
"80","2L 2905219",64450324,"X0.77"
"81","2L 2918281",64463386,"X0.77"
"82","2L 2926239",64471344,"X0.77"
"83","2L 2937064",64482169,"X0.77"
"84","2L 2938635",64483740,"X0.77"
"85","2L 2941929",64487034,"X0.77"
"86","2L 2951291",64496396,"X0.77"
"87","2L 2969207",64514312,"X0.77"
"88","2L 2973761",64518866,"X0.77"
"89","2L 2984171",64529276,"X0.77"
"90","2L 3033478",64578583,"X0.77"
"91","2L 3034965",64580070,"X0.77"
"92","2L 3041595",64586700,"X0.77"
"93","2L 3072663",64617768,"X5.747"
"94","2L 3109707",64654812,"X0.77"
"95","2L 3121392",64666497,"X0.77"
"96","2L 3123523",64668628,"X0.77"
"97","2L 3152467",64697572,"X0.77"
"98","2L 3155364",64700469,"X0.77"
"99","2L 3190039",64735144,"X0.77"
"100","2L 3192690",64737795,"X0.77"
"101","2L 3193755",64738860,"X0.77"
"102","2L 3193815",64738920,"X0.77"
"103","2L 3194010",64739115,"X0.77"
"104","2L 3194472",64739577,"X0.77"
"105","2L 3195460",64740565,"X5.747"
"106","2L 3195493",64740598,"X5.747"
