seqid,pos[w],gene
2R,19059669,AGAP002307
2R,19059669,AGAP002308
2R,19059669,AGAP002309
2R,19124322,AGAP002310
2R,19227067,AGAP002312
2R,19227067,AGAP002313
2R,19252643,AGAP002315
2R,19252643,AGAP002316
2R,19321187,AGAP002315
2R,19357592,AGAP002315
2R,19482708,AGAP002315
2R,19482708,AGAP002320
2R,20096045,AGAP002336
2R,20118887,AGAP002336
2R,20166574,AGAP002336
2R,20379751,AGAP002342
2R,20381654,AGAP002342
2R,20790883,AGAP002374
2R,20830388,AGAP002379
2R,20978693,AGAP002408
2R,20978693,AGAP002409
2R,21221653,AGAP002427
2R,21221653,AGAP002428
2R,21311959,AGAP002431
2R,22075314,AGAP002505
2R,22866571,AGAP002563
2R,23072690,AGAP002573
2R,23549539,AGAP002591
2R,24179523,AGAP012958
2R,24857953,AGAP002640
2R,24858073,AGAP002640
2R,24858733,AGAP002640
2R,24859207,AGAP002640
2R,24932264,AGAP002644
2R,25315447,AGAP002672
2R,25434411,AGAP002677
2R,25458053,AGAP002677
2R,25556664,AGAP002677
2R,25890942,AGAP002707
2R,25892986,AGAP002707
2R,26262079,AGAP002725
2R,26458624,AGAP002741
2R,26498903,AGAP002741
2R,26718607,AGAP002757
2R,26718607,AGAP002755
2R,26732191,AGAP002757
2R,31323315,AGAP013029
2R,35644280,AGAP029062
2R,40374206,AGAP003593
2R,44992761,AGAP003876
2R,48265824,AGAP004036
2R,48265824,AGAP004038
2R,49048177,AGAP004054
2R,55879029,AGAP004423
2L,8324824,AGAP005015
2L,8324824,AGAP005017
2L,8337193,AGAP005020
2L,8337193,AGAP005021
2L,9023194,AGAP005058
2L,10743970,AGAP005156
2L,12294194,AGAP005207
2L,22416647,AGAP029512
2L,22429048,AGAP005845
2L,23124723,AGAP005881
2L,23126733,AGAP005881
2L,23126838,AGAP005881
2L,23127681,AGAP005881
2L,23185161,AGAP005890
2L,23365738,AGAP005898
2L,25455670,AGAP006030
2L,25979509,AGAP006065
2L,25979509,AGAP028607
2L,27144463,AGAP006143
2L,27621544,AGAP006169
2L,27642964,AGAP006170
2L,27832909,AGAP006183
2L,27867859,AGAP006184
2L,28015919,AGAP029656
2L,28334274,AGAP029541
2L,28695688,AGAP006257
2L,28737152,AGAP006260
2L,28746685,AGAP006261
2L,29115611,AGAP029191
2L,29870393,AGAP006330
2L,30644052,AGAP029811
2L,31724077,AGAP006426
2L,33099212,AGAP006500
2L,33301377,AGAP029629
2L,33738051,AGAP006516
2L,34079089,AGAP006541
2L,34079089,AGAP006542
2L,34339623,AGAP006590
2L,35851079,AGAP006656
2L,35981429,AGAP006656
2L,36006589,AGAP006656
2L,36059189,AGAP006656
2L,36129615,AGAP006656
2L,37115863,AGAP006707
2L,37149182,AGAP006716
2L,37217966,AGAP006721
2L,38118796,AGAP006774
2L,38723736,AGAP029337
2L,38798242,AGAP029350
2L,39134402,AGAP006835
2L,40232970,AGAP006955
2L,40517555,AGAP006994
2L,40555644,AGAP006999
2L,40827652,AGAP007008
2L,40903304,AGAP007010
2L,41000006,AGAP007019
2L,41000006,AGAP007020
2L,41788637,AGAP007049
2L,41883368,AGAP007053
2L,48397162,AGAP007627
3R,306019,AGAP007755
3R,2800955,AGAP007918
3R,5324489,AGAP008090
3R,11684276,AGAP008515
3R,11743804,AGAP029505
3R,19424608,AGAP008851
3R,25846245,AGAP009112
3R,28032167,AGAP009164
3R,28117073,AGAP009171
3R,28117073,AGAP009173
3R,28168144,AGAP009180
3R,30024537,AGAP009258
3R,30024537,AGAP009259
3R,30043310,AGAP009261
3R,42369963,AGAP009755
3R,43420425,AGAP009793
3R,47985761,AGAP010026
3L,8283110,AGAP010676
3L,14640838,AGAP011030
3L,19490679,AGAP011222
3L,22950038,AGAP011379
3L,24598022,AGAP011435
3L,34390609,AGAP011870
3L,39830509,AGAP012290
X,475414,AGAP000037
X,832491,AGAP000051
X,999106,AGAP000064
X,1256410,AGAP000076
X,1590715,AGAP000099
X,1800692,AGAP000112
X,1800692,AGAP013390
X,7445028,AGAP029239
X,7660306,AGAP000431
X,9249698,AGAP000519
X,9264999,AGAP000519
X,9614578,AGAP029808
X,9743231,AGAP013055
X,9743863,AGAP013055
X,10711986,AGAP000602
X,13045008,AGAP000717
X,13403060,AGAP000732
X,14652478,AGAP000801
X,14674894,AGAP000801
X,14941614,AGAP000815
X,16124286,AGAP000865
X,16124403,AGAP000865
X,18394916,AGAP000961
X,18917113,AGAP000984
