seqid,pos[w],gene
2R,584272,AGAP001141
2R,640726,AGAP001157
2R,717217,AGAP001175
2R,719238,AGAP001175
2R,788814,AGAP001181
2R,1130961,AGAP001187
2R,1133352,AGAP001187
2R,1164750,AGAP001187
2R,1193640,AGAP001194
2R,1202749,AGAP001194
2R,1205203,AGAP001194
2R,1217538,AGAP001194
2R,1219466,AGAP001194
2R,1229372,AGAP001194
2R,1308589,AGAP001201
2R,1316516,AGAP001201
2R,1504112,AGAP001205
2R,1506126,AGAP001205
2R,1635716,AGAP001220
2R,1635716,AGAP001222
2R,1681294,AGAP013012
2R,1701337,AGAP013012
2R,1705723,AGAP013012
2R,1745645,AGAP001231
2R,1745645,AGAP001232
2R,1746901,AGAP001232
2R,1746901,AGAP001233
2R,1752907,AGAP001234
2R,1812239,AGAP001238
2R,1812429,AGAP001238
2R,1843254,AGAP001239
2R,1938417,AGAP013332
2R,2046681,AGAP001255
2R,2060152,AGAP001257
2R,2098467,AGAP001264
2R,2105758,AGAP001265
2R,2108156,AGAP001265
2R,2110485,AGAP001265
2R,2140389,AGAP001269
2R,2155222,AGAP001271
2R,2161770,AGAP001272
2R,2197454,AGAP001278
2R,2272224,AGAP001281
2R,2482697,AGAP001287
2R,2489792,AGAP001287
2R,2500372,AGAP001287
2R,2723078,AGAP001303
2R,2750598,AGAP029646
2R,2752427,AGAP029646
2R,2868051,AGAP001313
2R,2885141,AGAP001315
2R,3162803,AGAP001330
2R,3266263,AGAP001335
2R,3281586,AGAP001335
2R,3291240,AGAP001336
2R,3320856,AGAP001338
2R,3320856,AGAP001339
2R,3680028,AGAP001369
2R,3727383,AGAP001369
2R,3747677,AGAP028468
2R,3848309,AGAP001370
2R,3922603,AGAP001372
2R,3933198,AGAP001372
2R,3941986,AGAP001372
2R,3992914,AGAP001372
2R,4041494,AGAP001379
2R,4050302,AGAP001379
2R,4050302,AGAP001380
2R,4068527,AGAP001382
2R,4069188,AGAP001382
2R,4071352,AGAP001382
2R,4071352,AGAP013112
2R,4106845,AGAP001386
2R,4118044,AGAP001387
2R,4122554,AGAP001388
2R,4528602,AGAP001412
2R,4553325,AGAP001413
2R,4575645,AGAP001415
2R,4728709,AGAP001419
2R,4827602,AGAP013434
2R,4850996,AGAP001434
2R,4859275,AGAP001434
2R,4871962,AGAP001434
2R,5069018,AGAP001444
2R,5234156,AGAP001450
2R,5235047,AGAP001450
2R,5238773,AGAP001451
2R,5247450,AGAP001451
