seqid,pos[w],gene
2R,12938470,AGAP001962
2R,28487343,AGAP002859
2R,28487343,AGAP002863
2R,28487343,AGAP002864
2R,41138223,AGAP013179
2L,157120,AGAP004677
2L,741816,AGAP004686
2L,789931,AGAP004686
2L,976723,AGAP028432
2L,1675944,AGAP028434
2L,1772106,AGAP029368
2L,1773481,AGAP029368
2L,1774882,AGAP029368
2L,2100401,AGAP029667
2L,2381412,AGAP004707
2L,2392801,AGAP004707
2L,2686238,AGAP004718
2L,2847707,AGAP004729
2L,43252313,AGAP007133
2L,43254165,AGAP007133
3R,1501329,AGAP007830
3R,1501329,AGAP007831
3R,6344032,AGAP029542
3R,28368607,AGAP009183
3R,28372168,AGAP009183
3R,28373569,AGAP009183
3R,28374495,AGAP009183
3R,28681662,AGAP009206
3R,28697513,AGAP029511
3R,28709777,AGAP029511
3R,28711736,AGAP029511
3R,28719195,AGAP029511
3R,28824126,AGAP009213
3R,28830332,AGAP009214
3R,28830964,AGAP009214
3R,28831869,AGAP009214
3R,28832055,AGAP009214
3R,28841976,AGAP009217
3R,41631660,AGAP029589
3R,41719387,AGAP029589
3R,43432532,AGAP009793
3R,43681863,AGAP029238
3R,43681863,AGAP009805
3R,43702830,AGAP029238
3R,43801312,AGAP029648
3R,43801312,AGAP009820
3R,44725064,AGAP009879
3R,45371297,AGAP009925
3R,45372008,AGAP009925
3R,49375081,AGAP010142
3R,49488976,AGAP010149
3R,49607900,AGAP010158
3R,49750761,AGAP010162
3R,50087706,AGAP010184
3R,50088953,AGAP010184
3R,50089067,AGAP010184
3R,50096411,AGAP010184
3R,50124754,AGAP010184
3R,51995853,AGAP010281
3L,301416,AGAP010313
3L,371012,AGAP010314
3L,2435652,AGAP028494
3L,2435652,AGAP010386
3L,5924711,AGAP010542
3L,6057389,AGAP010545
3L,6488529,AGAP029588
3L,7423769,AGAP010626
3L,8136052,AGAP010661
3L,9358228,AGAP029636
3L,10495304,AGAP029620
3L,10556645,AGAP010798
3L,10556645,AGAP029080
3L,10640453,AGAP010805
3L,10647570,AGAP010805
3L,10780739,AGAP029151
3L,11509518,AGAP010826
3L,12152026,AGAP010865
3L,14517849,AGAP010985
3L,14517849,AGAP010989
3L,14517849,AGAP010990
3L,14520030,AGAP010990
3L,14520030,AGAP010991
3L,14520372,AGAP010990
3L,14520372,AGAP010991
3L,14520372,AGAP010992
3L,14523386,AGAP010993
3L,14523386,AGAP010994
3L,14523386,AGAP010995
3L,14523770,AGAP010994
3L,14523770,AGAP010995
3L,14524103,AGAP010994
3L,14524103,AGAP010995
3L,14532656,AGAP010996
3L,14532656,AGAP010997
3L,14532656,AGAP010998
3L,14533214,AGAP010997
3L,14533214,AGAP010998
3L,14533679,AGAP010997
3L,14533679,AGAP010998
3L,14533843,AGAP010997
3L,14533843,AGAP010998
3L,14534536,AGAP010998
3L,14534536,AGAP010999
3L,14535247,AGAP010998
3L,14535247,AGAP010999
3L,14535247,AGAP011000
3L,14552016,AGAP011008
3L,14552016,AGAP011009
3L,14552556,AGAP011009
3L,14552556,AGAP011010
3L,14552674,AGAP011009
3L,14552674,AGAP011010
3L,14552899,AGAP011009
3L,14552899,AGAP011010
3L,14553158,AGAP011009
3L,14553158,AGAP011010
3L,14553272,AGAP011009
3L,14553272,AGAP011010
3L,14553632,AGAP011010
3L,14563929,AGAP029304
3L,14563929,AGAP011014
3L,14565975,AGAP011015
3L,14565975,AGAP011016
3L,14567038,AGAP011016
3L,14570067,AGAP011017
3L,14570067,AGAP011018
3L,14570485,AGAP011018
3L,14570485,AGAP011019
3L,14570741,AGAP011018
3L,14570741,AGAP011019
3L,19446023,AGAP011216
3L,19446138,AGAP011216
3L,19446247,AGAP011216
3L,21098328,AGAP011325
3L,21098444,AGAP011325
3L,21100539,AGAP011325
3L,35041680,AGAP011916
3L,41909576,AGAP012424
X,17104,AGAP000002
X,34167,AGAP000005
X,34697,AGAP000005
X,132566,AGAP000011
X,200672,AGAP000015
X,202165,AGAP000015
X,8650536,AGAP000489
X,9250194,AGAP000519
X,9250336,AGAP000519
X,9264324,AGAP000519
X,9266706,AGAP000519
X,9555853,AGAP000534
X,9574729,AGAP013287
X,11786620,AGAP000663
X,13859397,AGAP000770
X,13862106,AGAP000771
X,13878149,AGAP000773
X,13894343,AGAP000774
X,13903723,AGAP000774
X,14356827,AGAP013147
X,14361479,AGAP013147
X,14361700,AGAP013147
X,14618860,AGAP000801
X,14823089,AGAP000807
X,14823871,AGAP000807
X,14891699,AGAP000812
X,14901119,AGAP000812
X,14939390,AGAP000815
X,14945624,AGAP000815
X,15251629,AGAP000819
X,15251956,AGAP000819
X,15252380,AGAP000819
X,15283095,AGAP000820
X,15314553,AGAP000821
X,15316542,AGAP000821
X,15317416,AGAP000821
X,15332702,AGAP000823
X,15333368,AGAP000823
X,15336282,AGAP000824
X,15344404,AGAP000825
X,15350333,AGAP000826
X,15367256,AGAP000830
X,15371078,AGAP000830
X,15380214,AGAP000832
X,15381761,AGAP000832
X,15387343,AGAP000833
X,15387583,AGAP000833
X,15389552,AGAP000833
X,15413814,AGAP000834
X,15419548,AGAP000834
X,15420125,AGAP000834
X,15421987,AGAP000834
X,15430479,AGAP000835
X,15431817,AGAP000835
X,15434510,AGAP000835
X,15468503,AGAP013506
X,15546625,AGAP000841
X,15573367,AGAP000844
X,15580234,AGAP000844
X,15614034,AGAP000847
X,15620669,AGAP000847
X,15648502,AGAP000847
X,15648667,AGAP000847
X,15649461,AGAP000847
X,15659665,AGAP000847
X,15680267,AGAP000847
X,15708626,AGAP000848
X,15760424,AGAP000854
