"","id","order","outlier.pop"
"1","2L 43184991",104730096,"X.3.862"
"2","2L 43200548",104745653,"X.3.862"
"3","2L 43221150",104766255,"X.3.862"
"4","2L 43252313",104797418,"X.3.862"
"5","2L 43254165",104799270,"X.3.862"
"6","2L 43254462",104799567,"X.3.862"
"7","2L 43254994",104800099,"X.3.862"
"8","2L 43255319",104800424,"X.3.862"
"9","2R 20256897",20256897,"X.3.862"
"10","2R 7188507",7188507,"X.3.862"
"11","2R 7199475",7199475,"X.3.862"
"12","3L 12114347",176224461,"X.3.862"
"13","3L 12114359",176224473,"X11.891"
"14","3L 12114368",176224482,"X11.891"
"15","3L 12114386",176224500,"X11.891"
"16","3L 14552997",178663111,"X11.891"
"17","3L 14553291",178663405,"X.3.862"
"18","3L 14553326",178663440,"X.3.862"
"19","3L 14553366",178663480,"X.3.862"
"20","3L 21088671",185198785,"X.3.862"
"21","3L 21095527",185205641,"X.3.862"
"22","3L 21098328",185208442,"X.3.862"
"23","3L 35957089",200067203,"X.3.862"
"24","3L 38132014",202242128,"X.3.862"
"25","3R 10680138",121589568,"X.3.862"
"26","3R 10722200",121631630,"X.3.862"
"27","3R 10913718",121823148,"X.3.862"
"28","3R 10921498",121830928,"X.3.862"
"29","3R 10921543",121830973,"X.3.862"
"30","3R 10925765",121835195,"X11.891"
"31","3R 10927880",121837310,"X11.891"
"32","3R 10935098",121844528,"X11.891"
"33","3R 10937477",121846907,"X11.891"
"34","3R 10947419",121856849,"X11.891"
"35","3R 16714698",127624128,"X11.891"
"36","3R 19466214",130375644,"X11.891"
"37","3R 19716891",130626321,"X11.891"
"38","3R 38148978",149058408,"X.3.862"
"39","3R 38150550",149059980,"X.3.862"
"40","3R 43670069",154579499,"X.3.862"
"41","3R 6341988",117251418,"X.3.862"
"42","3R 6342688",117252118,"X.3.862"
"43","3R 6342735",117252165,"X11.891"
"44","3R 6343883",117253313,"X11.891"
"45","3R 6344698",117254128,"X11.891"
"46","3R 6344711",117254141,"X11.891"
"47","3R 6344944",117254374,"X11.891"
"48","X 12966695",219040244,"X11.891"
"49","X 12968501",219042050,"X11.891"
"50","X 4181228",210254777,"X.3.862"
"51","X 4476527",210550076,"X.3.862"
"52","X 4993774",211067323,"X.3.862"
"53","X 5939272",212012821,"X.3.862"
"54","X 8681625",214755174,"X.3.862"
"55","X 8743153",214816702,"X.3.862"
"56","X 9082611",215156160,"X.3.862"
"57","X 9082791",215156340,"X.3.862"
"58","X 9131958",215205507,"X.3.862"
"59","X 9147323",215220872,"X.3.862"
"60","X 9156429",215229978,"X.3.862"
"61","X 9231422",215304971,"X.3.862"
"62","X 9572996",215646545,"X.3.862"
"63","X 9581268",215654817,"X11.891"
"64","X 9584087",215657636,"X11.891"
"65","X 9584192",215657741,"X11.891"
