seqid,pos[w],gene
2R,19059512,AGAP002307
2R,19059512,AGAP002308
2R,19308242,AGAP002315
2R,19346197,AGAP002315
2R,19612838,AGAP002325
2R,20096045,AGAP002336
2R,20134074,AGAP002336
2R,20185328,AGAP002336
2R,20763259,AGAP002371
2R,21434423,AGAP002441
2R,21444128,AGAP002442
2R,21481274,AGAP002444
2R,21532065,AGAP002451
2R,22872482,AGAP002563
2R,23168254,AGAP002578
2R,23168593,AGAP002578
2R,23168808,AGAP002578
2R,23170542,AGAP002578
2R,23171091,AGAP002578
2R,23181995,AGAP002578
2R,23185665,AGAP002578
2R,25460383,AGAP002677
2R,25595722,AGAP002678
2R,26198437,AGAP002719
2R,26503769,AGAP002741
2R,28187466,AGAP002835
2R,28298488,AGAP013388
2R,28351294,AGAP002858
2R,28415327,AGAP002859
2R,28420647,AGAP002859
2R,28423000,AGAP002859
2R,28436561,AGAP002859
2R,28451354,AGAP002859
2R,28473612,AGAP002859
2R,28569093,AGAP002875
2R,28618367,AGAP002881
2R,28625267,AGAP002881
2R,28639469,AGAP002881
2R,28642951,AGAP002881
2R,28643395,AGAP002881
2R,28646350,AGAP002881
2R,28648346,AGAP002881
2R,28662333,AGAP002883
2R,34062377,AGAP003232
2R,34423241,AGAP003244
2R,40185656,AGAP003579
2R,40237710,AGAP003579
2R,40362064,AGAP003587
2R,40362064,AGAP003588
2R,40373744,AGAP003593
2R,40538592,AGAP029064
2R,47842138,AGAP004008
2R,47842242,AGAP004008
2R,47842715,AGAP004008
2R,47854432,AGAP004008
2R,58296627,AGAP004604
2R,61166783,AGAP013143
2R,61167547,AGAP013143
2R,61232944,AGAP004672
2R,61243046,AGAP004672
2L,1602596,AGAP004694
2L,1675944,AGAP028434
2L,2077685,AGAP029667
2L,2080599,AGAP029667
2L,2381412,AGAP004707
2L,2422651,AGAP004707
2L,2646325,AGAP004717
2L,2801660,AGAP004725
2L,2805432,AGAP004726
2L,2805556,AGAP004726
2L,2806344,AGAP004726
2L,2845664,AGAP004729
2L,3394981,AGAP004774
2L,3395467,AGAP004774
2L,4770599,AGAP004873
2L,24154472,AGAP005964
2L,24156346,AGAP005964
2L,24213518,AGAP005964
2L,25163438,AGAP006025
2L,28068262,AGAP029656
2L,30778732,AGAP006376
2L,38889244,AGAP006820
2L,39159521,AGAP006838
2L,40217864,AGAP006952
2L,40217864,AGAP006953
2L,40253266,AGAP029338
2L,40253266,AGAP029353
2L,43252313,AGAP007133
2L,43254165,AGAP007133
3R,503609,AGAP007765
3R,503609,AGAP007766
3R,6342466,AGAP029542
3R,26435672,AGAP009128
3R,26435672,AGAP009129
3R,26437017,AGAP009129
3R,28368607,AGAP009183
3R,28373569,AGAP009183
3R,28374495,AGAP009183
3R,28382567,AGAP009183
3R,28493523,AGAP009184
3R,28567984,AGAP009185
3R,28568343,AGAP009185
3R,28575205,AGAP009188
3R,28575205,AGAP009189
3R,28576968,AGAP009189
3R,28577860,AGAP009189
3R,28584285,AGAP009189
3R,28584656,AGAP009189
3R,28584780,AGAP009189
3R,28585441,AGAP009189
3R,28590827,AGAP009189
3R,28590827,AGAP009190
3R,28594181,AGAP009191
3R,28594181,AGAP009192
3R,28594943,AGAP009191
3R,28594943,AGAP009192
3R,28614265,AGAP009200
3R,28615019,AGAP009200
